id,committee_id,filed_doc_id,etrans_id,last_name,first_name,received_date,amount,aggregate_amount,loan_amount,occupation,employer,address1,address2,city,state,zipcode,d2_part,description,vendor_last_name,vendor_first_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zipcode,archived,country,redaction_requested,search_name,search_date
6541986,22807,997682,,"Uber Technologies, Inc.",,2026-01-15 00:00:00,2500.0,0.0,0.0,,,2350 Kerner Blvd,Suite 250,San Rafael,CA,94901     ,1A,,,,,,,  ,          ,False,,False,'inc':3 'technolog':2 'uber':1,2026-01-15 00:00:00
6518044,22807,994660,,Committee to Expand the Middle Class,,2026-01-06 00:00:00,1000.0,0.0,0.0,,,2350 Kerner Blvd,Suite 250,San Rafael,CA,94901     ,2A,,,,,,,  ,          ,False,,False,'class':6 'committe':1 'expand':3 'middl':5,2026-01-06 00:00:00
6529210,22807,996672,,"McLane Company, Inc.",,2025-12-30 00:00:00,2500.0,2500.0,0.0,,,P.O. Box 6115,,Temple,TX,76503     ,1A,,,,,,,  ,          ,False,,False,'compani':2 'inc':3 'mclane':1,2025-12-30 00:00:00
6529209,22807,996672,,Entertainment Software Association,,2025-12-30 00:00:00,2000.0,2000.0,0.0,,,601 Massachusetts Avenue,NW #300W,Washington,DC,20001     ,1A,,,,,,,  ,          ,False,,False,'associ':3 'entertain':1 'softwar':2,2025-12-30 00:00:00
6529211,22807,996672,,Prairie Band Potawatomi Nation,,2025-12-30 00:00:00,1000.0,1000.0,0.0,,,16281 Q Road,,Mayetta,KS,66509     ,1A,,,,,,,  ,          ,False,,False,'band':2 'nation':4 'potawatomi':3 'prairi':1,2025-12-30 00:00:00
6529212,22807,996672,,Deloitte Political Action Committee,,2025-12-30 00:00:00,500.0,500.0,0.0,,,P.O. Box 365,,Washington,DC,20044     ,2A,,,,,,,  ,          ,False,,False,'action':3 'committe':4 'deloitt':1 'polit':2,2025-12-30 00:00:00
6529205,22807,996672,,Google,,2025-12-16 00:00:00,5000.0,5000.0,0.0,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043     ,1A,,,,,,,  ,          ,False,,False,'googl':1,2025-12-16 00:00:00
6529204,22807,996672,,NRG Energy,,2025-12-16 00:00:00,3000.0,3000.0,0.0,,,529 E 135th Street,,Romeoville,IL,60466     ,1A,,,,,,,  ,          ,False,,False,'energi':2 'nrg':1,2025-12-16 00:00:00
6529207,22807,996672,,Community Currency Exchange Ass of IL PAC,,2025-12-16 00:00:00,2000.0,2000.0,0.0,,,10220 S Cicero Avenue Suite 202,,Oak Lawn,IL,60453     ,2A,,,,,,,  ,          ,False,,False,'ass':4 'communiti':1 'currenc':2 'exchang':3 'il':6 'pac':7,2025-12-16 00:00:00
6529208,22807,996672,,Cigna,,2025-12-16 00:00:00,1000.0,1000.0,0.0,,,601 Pennsylvania Ave. NW,,Washington,DC,20004     ,2A,,,,,,,  ,          ,False,,False,'cigna':1,2025-12-16 00:00:00
6529206,22807,996672,,Pfizer Inc.,,2025-12-16 00:00:00,500.0,500.0,0.0,,,6730 Lenox Center CT,,Memphis,TN,38115     ,1A,,,,,,,  ,          ,False,,False,'inc':2 'pfizer':1,2025-12-16 00:00:00
