id,committee_id,filed_doc_id,etrans_id,last_name,first_name,received_date,amount,aggregate_amount,loan_amount,occupation,employer,address1,address2,city,state,zipcode,d2_part,description,vendor_last_name,vendor_first_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zipcode,archived,country,redaction_requested,search_name,search_date
6539200,34074,997580,,Carpentry Advancement PAC Fund,,2025-12-29 00:00:00,50000.0,51000.0,0.0,,,12 East Erie Street,,Chicago,IL,60611     ,2A,,,,,,,  ,          ,False,,False,'advanc':2 'carpentri':1 'fund':4 'pac':3,2025-12-29 00:00:00
6539194,34074,997580,,Ameren Illinois,,2025-12-29 00:00:00,2500.0,2500.0,0.0,,,P.O. Box 66892,,St. Louis,MO,63166     ,1A,,,,,,,  ,          ,False,,False,'ameren':1 'illinoi':2,2025-12-29 00:00:00
6539195,34074,997580,,"Accel Entertainment Gaming, LLC",,2025-12-29 00:00:00,1500.0,1500.0,0.0,,,PO Box 1218,,Bolingbrook,IL,60440     ,1A,,,,,,,  ,          ,False,,False,'accel':1 'entertain':2 'game':3 'llc':4,2025-12-29 00:00:00
6539203,34074,997580,,Ironworkers District Council of Chicago & Vicinity,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,2700 South River Road,Suite 118,Des Plaines,IL,60018     ,2A,,,,,,,  ,          ,False,,False,'chicago':5 'council':3 'district':2 'ironwork':1 'vicin':6,2025-12-29 00:00:00
6539202,34074,997580,,Teamsters Volunteers in Politics,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,160 Market Street,,Willow Springs,IL,60480     ,2A,,,,,,,  ,          ,False,,False,'polit':4 'teamster':1 'volunt':2,2025-12-29 00:00:00
6539201,34074,997580,,Illinois Hospital Association PAC,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,700 S Second St,,Springfield,IL,62704     ,2A,,,,,,,  ,          ,False,,False,'associ':3 'hospit':2 'illinoi':1 'pac':4,2025-12-29 00:00:00
6539205,34074,997580,,Illinois Optometric Association PAC,,2025-12-29 00:00:00,500.0,500.0,0.0,,,304 W Washington St,,Springfield,IL,62701     ,2A,,,,,,,  ,          ,False,,False,'associ':3 'illinoi':1 'optometr':2 'pac':4,2025-12-29 00:00:00
6539204,34074,997580,,I.U.O.E Local 399,,2025-12-29 00:00:00,500.0,500.0,0.0,,,2260 S Grove St,,Chicago,IL,60616     ,2A,,,,,,,  ,          ,False,,False,'399':3 'i.u.o.e':1 'local':2,2025-12-29 00:00:00
6539197,34074,997580,,"Kasper & Nottage, PC",,2025-12-29 00:00:00,500.0,500.0,0.0,,,222 N La Salle St Ste 300,,Chicago,IL,60601     ,1A,,,,,,,  ,          ,False,,False,'kasper':1 'nottag':2 'pc':3,2025-12-29 00:00:00
6539196,34074,997580,,BNSF Railway Company,,2025-12-29 00:00:00,500.0,500.0,0.0,,,"2500 Lou Menk Drive, AOB-2",,Fort Worth,TX,76131     ,1A,,,,,,,  ,          ,False,,False,'bnsf':1 'compani':3 'railway':2,2025-12-29 00:00:00
6539198,34074,997580,,Reiner,Larry,2025-12-29 00:00:00,250.0,250.0,0.0,,,1207 Larraway Dr.,,Buffalo Grove,IL,60089     ,1A,,,,,,,  ,          ,False,,False,'larri':1 'reiner':2,2025-12-29 00:00:00
6539199,34074,997580,,Bolander,Philip,2025-12-29 00:00:00,200.0,200.0,0.0,,,39 W 213 Hilltop Drive,,St. Charles,IL,60175     ,1A,,,,,,,  ,          ,False,,False,'boland':2 'philip':1,2025-12-29 00:00:00
6539206,34074,997580,,West Suburban Teachers Union Local 571 COPE/PAC Fund,,2025-12-29 00:00:00,125.0,325.0,0.0,,,500 Oakmont Lane,P.O. Box 390,Westmont,IL,60559     ,2A,,,,,,,  ,          ,False,,False,'571':6 'cope/pac':7 'fund':8 'local':5 'suburban':2 'teacher':3 'union':4 'west':1,2025-12-29 00:00:00
6539190,34074,997580,,I.P.A.C.E,,2025-12-08 00:00:00,30000.0,35000.0,0.0,,,100 E Edwards St,,Springfield,IL,62704     ,2A,,,,,,,  ,          ,False,,False,'i.p.a.c.e':1,2025-12-08 00:00:00
6539188,34074,997580,,Chicago Land Operators Joint Labor Management PAC,,2025-12-08 00:00:00,6500.0,7500.0,0.0,,,6200 Joliet Rd,,Countryside,IL,60525     ,2A,,,,,,,  ,          ,False,,False,'chicago':1 'joint':4 'labor':5 'land':2 'manag':6 'oper':3 'pac':7,2025-12-08 00:00:00
6539185,34074,997580,,LiUNA Chicago Laborers District Council,,2025-12-08 00:00:00,5000.0,5000.0,0.0,,,999 McClintock Drive,Suite 300,Burr Ridge,IL,60527-0825,2A,,,,,,,  ,          ,False,,False,'chicago':2 'council':5 'district':4 'labor':3 'liuna':1,2025-12-08 00:00:00
6539192,34074,997580,,Gun Violence Prevention PAC,,2025-12-08 00:00:00,1000.0,1000.0,0.0,,,1235 N Clybourn,STE 246,Chicago,IL,60610     ,2A,,,,,,,  ,          ,False,,False,'gun':1 'pac':4 'prevent':3 'violenc':2,2025-12-08 00:00:00
6539191,34074,997580,,Health Care Service Corporation Employees PAC,,2025-12-08 00:00:00,1000.0,1000.0,0.0,,,300 E Randolph Street,Floor 4,Chicago,IL,60601     ,2A,,,,,,,  ,          ,False,,False,'care':2 'corpor':4 'employe':5 'health':1 'pac':6 'servic':3,2025-12-08 00:00:00
6539187,34074,997580,,Chicago Land Operators Joint Labor Management PAC,,2025-12-08 00:00:00,1000.0,7500.0,0.0,,,6200 Joliet Rd,,Countryside,IL,60525     ,2A,,,,,,,  ,          ,False,,False,'chicago':1 'joint':4 'labor':5 'land':2 'manag':6 'oper':3 'pac':7,2025-12-08 00:00:00
6539186,34074,997580,,Illinois American Water Company PAC,,2025-12-08 00:00:00,1000.0,1000.0,0.0,,,300 N Water Works Dr,,Belleville,IL,62223     ,2A,,,,,,,  ,          ,False,,False,'american':2 'compani':4 'illinoi':1 'pac':5 'water':3,2025-12-08 00:00:00
6539180,34074,997580,,"J & J Ventures Gaming, LLC",,2025-12-08 00:00:00,1000.0,1000.0,0.0,,,PO Box 1709,,Effingham,IL,62401     ,1A,,,,,,,  ,          ,False,,False,"'game':4 'j':1,2 'llc':5 'ventur':3",2025-12-08 00:00:00
6539189,34074,997580,,Peoples Energy PAC,,2025-12-08 00:00:00,500.0,500.0,0.0,,,200 E. Randolph Street,23rd Floor,Chicago,IL,60601     ,2A,,,,,,,  ,          ,False,,False,'energi':2 'pac':3 'peopl':1,2025-12-08 00:00:00
6539181,34074,997580,,PhRMA,,2025-12-08 00:00:00,500.0,500.0,0.0,,,"950 F Street NW, Suite 300",,Washington,DC,20004     ,1A,,,,,,,  ,          ,False,,False,'phrma':1,2025-12-08 00:00:00
6539184,34074,997580,,Patterson,Christine,2025-12-08 00:00:00,250.0,250.0,0.0,,,1536 Placer Ct,,Naperville,IL,60565     ,1A,,,,,,,  ,          ,False,,False,'christin':1 'patterson':2,2025-12-08 00:00:00
6539183,34074,997580,,Matthew O'Shea Consulting Inc,,2025-12-08 00:00:00,250.0,250.0,0.0,,,11635 Burnley Dr.,,Orland Park,IL,60467     ,1A,,,,,,,  ,          ,False,,False,'consult':4 'inc':5 'matthew':1 'o':2 'shea':3,2025-12-08 00:00:00
6539182,34074,997580,,"KBauer Consulting, Inc.",,2025-12-08 00:00:00,250.0,250.0,0.0,,,22 Sunnyslope Rd,,Palos Park,IL,60464     ,1A,,,,,,,  ,          ,False,,False,'consult':2 'inc':3 'kbauer':1,2025-12-08 00:00:00
6539193,34074,997580,,ABATE Illinois,,2025-12-08 00:00:00,200.0,200.0,0.0,,,2292 N Fairview Ave,,Decatur,IL,62526     ,2A,,,,,,,  ,          ,False,,False,'abat':1 'illinoi':2,2025-12-08 00:00:00
6539179,34074,997580,,McGuire Wood PAC,,2025-10-20 00:00:00,1000.0,1000.0,0.0,,,800 East Canal Street,,Richmond,VA,23219     ,2A,,,,,,,  ,          ,False,,False,'mcguir':1 'pac':3 'wood':2,2025-10-20 00:00:00
6539178,34074,997580,,Community Banc PAC,,2025-10-20 00:00:00,1000.0,1000.0,0.0,,,901 Community Drive,,Springfield,IL,62703     ,2A,,,,,,,  ,          ,False,,False,'banc':2 'communiti':1 'pac':3,2025-10-20 00:00:00
6539177,34074,997580,,The Alden Network,,2025-10-20 00:00:00,500.0,500.0,0.0,,,4200 W Peterson Ave,,Chicago,IL,60646     ,1A,,,,,,,  ,          ,False,,False,'alden':2 'network':3,2025-10-20 00:00:00
