id,committee_id,filed_doc_id,etrans_id,last_name,first_name,received_date,amount,aggregate_amount,loan_amount,occupation,employer,address1,address2,city,state,zipcode,d2_part,description,vendor_last_name,vendor_first_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zipcode,archived,country,redaction_requested,search_name,search_date
6541678,36454,997654,,Carpentry Advancement Political Action,,2025-12-31 00:00:00,50000.0,50000.0,0.0,,,12 E. Erie St,,Chicago,IL,60611     ,2A,,,,,,,  ,          ,False,,False,'action':4 'advanc':2 'carpentri':1 'polit':3,2025-12-31 00:00:00
6541687,36454,997654,,SEIU IL Council PAC Fund,,2025-12-31 00:00:00,20000.0,20000.0,0.0,,,2229 S Halsted St,,Chicago,IL,60608     ,2A,,,,,,,  ,          ,False,,False,'council':3 'fund':5 'il':2 'pac':4 'seiu':1,2025-12-31 00:00:00
6541680,36454,997654,,Chicago Land Operators Joint Labo Management PAC,,2025-12-31 00:00:00,6500.0,6500.0,0.0,,,6200 Joliet Rd,,Countryside,IL,60525     ,2A,,,,,,,  ,          ,False,,False,'chicago':1 'joint':4 'labo':5 'land':2 'manag':6 'oper':3 'pac':7,2025-12-31 00:00:00
6541681,36454,997654,,LIUANA Chicago Laborers' District Council PAC,,2025-12-31 00:00:00,3000.0,3000.0,0.0,,,999 McClintock Drive,Suite 300,Burr Ridge,IL,60527     ,2A,,,,,,,  ,          ,False,,False,'chicago':2 'council':5 'district':4 'labor':3 'liuana':1 'pac':6,2025-12-31 00:00:00
6541685,36454,997654,,Illinois Laborers Legislative Committee,,2025-12-31 00:00:00,2500.0,2500.0,0.0,,,1 North Old State Capitol Plaza,suite 525,Springfield,IL,62701     ,2A,,,,,,,  ,          ,False,,False,'committe':4 'illinoi':1 'labor':2 'legisl':3,2025-12-31 00:00:00
6541686,36454,997654,,J&J Ventures Gaming LLC,,2025-12-31 00:00:00,1000.0,1000.0,0.0,,,PO Box 1709,,Effingham,IL,62401     ,2A,,,,,,,  ,          ,False,,False,"'game':4 'j':1,2 'llc':5 'ventur':3",2025-12-31 00:00:00
6541684,36454,997654,,Illinois Trial Lawyers Association Political Action Committee,,2025-12-31 00:00:00,1000.0,1000.0,0.0,,,401 W. Edward St,,Springfield,IL,62704-1917,2A,,,,,,,  ,          ,False,,False,'action':6 'associ':4 'committe':7 'illinoi':1 'lawyer':3 'polit':5 'trial':2,2025-12-31 00:00:00
6541683,36454,997654,,Lyft,,2025-12-31 00:00:00,1000.0,1000.0,0.0,,,1020 N Elston ave,,Chicago,IL,60642     ,2A,,,,,,,  ,          ,False,,False,'lyft':1,2025-12-31 00:00:00
6541682,36454,997654,,Cook County Colleges Teachers Union,,2025-12-31 00:00:00,1000.0,1000.0,0.0,,,1901 W Carroll Ave,,Chicago,IL,60612     ,2A,,,,,,,  ,          ,False,,False,'colleg':3 'cook':1 'counti':2 'teacher':4 'union':5,2025-12-31 00:00:00
6541679,36454,997654,,Wine & Spirits Distributors of IL Pac,,2025-12-31 00:00:00,1000.0,1000.0,0.0,,,224 S Cuyler Ave,,Oak Park,IL,60302     ,2A,,,,,,,  ,          ,False,,False,'distributor':3 'il':5 'pac':6 'spirit':2 'wine':1,2025-12-31 00:00:00
