id,committee_id,filed_doc_id,etrans_id,last_name,first_name,received_date,amount,aggregate_amount,loan_amount,occupation,employer,address1,address2,city,state,zipcode,d2_part,description,vendor_last_name,vendor_first_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zipcode,archived,country,redaction_requested,search_name,search_date
6558071,39609,999258,,Uber Technologies Ince,,2026-01-27 00:00:00,1000.0,0.0,0.0,,,2350 Kerner Blvd,Suite 250,San Rafael,CA,94901     ,1A,,,,,,,  ,          ,False,,False,'inc':3 'technolog':2 'uber':1,2026-01-27 00:00:00
6527786,39609,996560,,NRG Energy Inc,,2026-01-13 00:00:00,1500.0,0.0,0.0,,,804 Carnegie Dr,,Princeton,NJ,08540     ,1A,,,,,,,  ,          ,False,,False,'energi':2 'inc':3 'nrg':1,2026-01-13 00:00:00
6529259,39609,996674,,United Assn of Journeymen & IL Pipes Trades Assoc,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,534 S 2nd Street,Suite 311,Springfield,IL,62701     ,2A,,,,,,,  ,          ,False,,False,'assn':2 'assoc':8 'il':5 'journeymen':4 'pipe':6 'trade':7 'unit':1,2025-12-29 00:00:00
6529258,39609,996674,,American Society of Anesthesiologist PAC,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,6737 W Washington St,Suite 4210,Milwaukee,WI,53214     ,2A,,,,,,,  ,          ,False,,False,'american':1 'anesthesiologist':4 'pac':5 'societi':2,2025-12-29 00:00:00
6529257,39609,996674,,Ameren Illinois Company,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,PO Box 66892,,St Louis,MO,63166     ,1A,,,,,,,  ,          ,False,,False,'ameren':1 'compani':3 'illinoi':2,2025-12-29 00:00:00
6529256,39609,996674,,PhRMA,,2025-12-29 00:00:00,1000.0,1000.0,0.0,,,670 Maine Ave SW,Suite 1000,Washington DC,DC,20024     ,1A,,,,,,,  ,          ,False,,False,'phrma':1,2025-12-29 00:00:00
6529255,39609,996674,,ACPAC Automobile Club PAC,,2025-12-22 00:00:00,500.0,500.0,0.0,,,1 Autoclub Dr,,Dearborn,MI,48126     ,2A,,,,,,,  ,          ,False,,False,'acpac':1 'automobil':2 'club':3 'pac':4,2025-12-22 00:00:00
6529253,39609,996674,,Phillips 66 Company,,2025-12-22 00:00:00,500.0,500.0,0.0,,,2-1089 Trade Pay,,Bartlesville,OK,74003     ,1A,,,,,,,  ,          ,False,,False,'66':2 'compani':3 'phillip':1,2025-12-22 00:00:00
6529254,39609,996674,,Southwest Airlines Co,,2025-12-22 00:00:00,250.0,250.0,0.0,,,PO Box36645,,Dallas,IL,75235     ,1A,,,,,,,  ,          ,False,,False,'airlin':2 'co':3 'southwest':1,2025-12-22 00:00:00
6529250,39609,996674,,Chicago Land Operators Joint Labor-Management PAC,,2025-12-10 00:00:00,6500.0,8000.0,0.0,,,6200 Joliet Rd,,Countryside,IL,60525     ,2A,,,,,,,  ,          ,False,,False,'chicago':1 'joint':4 'labor':6 'labor-manag':5 'land':2 'manag':7 'oper':3 'pac':8,2025-12-10 00:00:00
6529249,39609,996674,,Illinois Optometric Association,,2025-12-10 00:00:00,500.0,500.0,0.0,,,304 West Washington Street,,Springfield,IL,62701     ,1A,,,,,,,  ,          ,False,,False,'associ':3 'illinoi':1 'optometr':2,2025-12-10 00:00:00
6529252,39609,996674,,Smart TD PAC,,2025-12-10 00:00:00,250.0,250.0,0.0,,,6060 Rockside Woods Blvd,Suite  325,Independence,OH,44131     ,2A,,,,,,,  ,          ,False,,False,'pac':3 'smart':1 'td':2,2025-12-10 00:00:00
